uri,label,slug,infrastructure,startTimestamp,endTimestamp,maxAttempts
https://pupp.nsa.etestavimas.lt#Delivery_QA_2022spring_N2G81LT_1645454285,"2022 m. NMPP gamtos mokslai 8 kl. I srautas  (QA)",Delivery_QA_2022spring_N2G81LT,ROSTER,,,
https://pupp.nsa.etestavimas.lt#Delivery_QA_2022spring_N2G81LTSL_1645454301,"2022 m. NMPP gamtos mokslai 8 kl. I srautas. Prailgintas laikas  (QA)",Delivery_QA_2022spring_N2G81LTSL,ROSTER,,,
https://pupp.nsa.etestavimas.lt#Delivery_2022spring_N2G81LT_1645454285,"2022 m. NMPP gamtos mokslai 8 kl. I srautas",Delivery_2022spring_N2G81LT,ROSTER,,,1
https://pupp.nsa.etestavimas.lt#Delivery_2022spring_N2G81LTSL_1645454301,"2022 m. NMPP gamtos mokslai 8 kl. I srautas. Prailgintas laikas",Delivery_2022spring_N2G81LTSL,ROSTER,,,1
